real,imag
27,0
-1547,0
-2215,0
-1586,0
-28,0
1547,0
2215,0
1586,0
28,0
-1547,0
-2215,0
-1586,0
-26,0
1547,0
2216,0
1585,0
0,0
-1,0
0,0
0,0
-1,0
0,-1
0,-1
0,-1
0,1
0,0
0,0
0,0
0,0
-1,-1
-1,-1
-1,0
0,-1
2,-1
1,0
1,0
0,0
-1,0
-1,0
-1,-1
0,-1
0,0
1,0
0,1
0,1
-2,1
-1,0
-1,0
0,1
2,-1
1,-1
0,-2
-1,0
0,1
0,1
1,0
-1,-2
-1,0
0,1
1,1
1,0
0,-3
-1,-2
-2,-1
-14,1108
-791,775
-1107,-13
-773,-793
12,-1109
792,-775
1106,13
772,792
-13,1108
-792,774
-1106,-14
-773,-793
14,-1108
792,-774
1106,13
771,792
0,1
0,0
0,0
0,-1
-1,0
0,0
0,0
0,-1
0,0
0,0
1,0
0,1
-1,0
0,-1
-1,-1
-1,-1
0,-1
0,0
0,0
0,0
-1,0
0,0
0,0
-1,-1
-1,0
-1,0
0,0
0,0
0,0
0,0
-1,-1
-1,0
-14,-1109
-1028,-414
-774,791
437,1018
1109,-14
413,-1029
-793,-773
-1018,437
13,1109
1027,412
772,-792
-438,-1018
-1109,15
-413,1028
792,773
1017,-438
0,-2198
1557,-1554
2202,0
1557,1552
0,2196
-1558,1552
-2203,0
-1557,-1553
0,-2197
1557,-1553
2203,0
1557,1553
0,2197
-1557,1552
-2204,-1
-1557,-1554
0,0
0,-2
0,-1
0,-1
1,1
-1,0
1,-1
0,0
-1,-1
-1,1
-1,-1
0,0
-1,-1
0,-1
0,-2
-1,-1
0,0
1,-1
1,-1
0,0
0,0
-2,0
0,0
-1,-1
-1,0
1,-1
0,0
0,0
-1,-1
0,0
-1,-1
-2,0
0,1
3,1
2,-3
-3,-3
-1,0
-2,3
3,2
3,-2
0,-1
-3,-2
-3,2
2,3
1,0
1,-3
-3,-3
-3,1
0,-1
2,-2
3,0
0,2
0,0
-2,2
-3,0
-2,-2
0,0
1,-2
3,0
2,2
0,1
-1,1
-4,0
-2,-2
0,-1
1,0
1,-1
-1,0
-1,-1
0,2
0,-1
1,-1
0,0
-2,-1
-1,0
0,1
-1,-1
0,-2
-2,0
-2,-1
0,0
1,0
0,0
0,0
-1,-2
0,0
-1,-1
0,0
0,-1
0,0
0,-1
0,0
-1,-1
0,0
-1,1
-1,0
0,2198
2034,841
1557,-1558
-838,-2034
-2197,-1
-839,2034
1557,1558
2033,-839
-1,-2198
-2034,-840
-1558,1559
840,2034
2197,0
838,-2034
-1560,-1558
-2034,840
