real,imag
3,0
0,-11
1,1
0,1
-2,2
-6,-5
-4,0
-1,0
-1,-1
1,-5
4,3
0,-4
6,-3
-1,0
-5,-2
-3,7
-1,3
-5,-10
-1,5
0,-1
-6,-3
-2,0
-2,-3
-3,5
-4,-3
3,-14
-7,-3
0,-12
0,-9
-1,-17
-6,-39
-5,-92
437,35447
2,-70417
-429,35446
6,-89
2,-41
0,-20
-2,-11
3,-6
6,-3
1,-1
5,-5
3,-8
1,-4
0,-2
-7,-4
-2,-4
-4,-3
4,4
4,-6
5,-4
-2,-5
0,-2
-1,-1
2,-5
0,-4
-4,5
1,0
-4,-7
1,2
4,-3
-2,-5
2,2
2,-3
0,1
1,-7
-1,0
1,-5
-5,1
0,-2
1,-7
-1,5
-3,6
-2,1
2,-6
-2,-3
1,1
2,-1
1,-3
-1,3
-3,-2
-3,-3
-3,-8
-4,4
3,2
1,-3
-1,-6
2,0
3,-4
2,-1
-2,-16
-1,-2
-3,-11
-7,-4
3,7
0,-2
-4,4
4,-2
1,30
-1,-8
-8,2
-1,-3
5,2
4,4
-6,-11
2,5
2,12
-3,-2
-1,3
-1,-2
-1,1
1,-6
-4,1
0,-6
0,2
-5,-8
-2,3
-4,-8
6,5
0,-5
-6,15
-4,0
4,0
4,2
0,4
4,0
-1,-3
5,0
0,3
5,-2
0,-4
4,-3
4,-2
-5,0
-6,-15
1,5
5,-6
-5,7
-3,-5
-5,5
1,-3
1,6
-4,-2
1,5
-2,0
-2,1
-3,-4
-3,1
2,-13
2,-6
-6,9
4,-4
5,0
-2,3
-9,-3
0,7
1,-30
4,1
-4,-7
1,3
2,-10
-6,4
-3,11
0,1
-3,14
2,1
3,2
2,-2
-2,5
1,3
3,-3
-4,-5
-3,8
-4,2
-3,2
0,-4
2,2
4,0
3,-3
-3,3
2,6
-2,-2
-3,-6
0,-7
2,5
-2,2
-5,-2
1,4
0,-2
2,7
0,-3
2,3
2,-4
-4,5
5,2
1,-4
-4,7
2,-3
-4,-8
-2,3
3,4
0,1
0,0
0,5
5,3
4,5
5,-6
-4,3
-2,4
-8,5
1,2
2,2
3,8
5,5
1,0
6,4
3,6
-3,11
0,20
3,42
7,89
-430,-35449
3,70419
438,-35449
-7,94
-7,38
-2,16
1,10
0,12
-8,3
3,14
-5,2
-3,-6
-3,3
-3,-3
-6,4
1,-2
-2,-7
-6,11
-2,-5
-3,-10
-7,2
0,0
7,2
0,5
4,-3
2,5
-3,1
0,-2
-5,0
-9,6
-3,-3
0,-3
2,0
1,13
