real,imag
0,0
-51200,0
-70592,0
-46080,0
6848,0
55360,0
69184,0
40128,0
-13504,0
-58240,0
-66496,0
-33600,0
19648,0
59840,0
62592,0
26624,0
-24896,0
-60160,0
-57600,0
-19776,0
29312,0
59072,0
51776,0
13056,0
-32448,0
-56640,0
-45312,0
-6784,0
34432,0
53056,0
38528,0
1280,0
-35072,0
-48384,0
-31616,0
3328,0
34304,0
42688,0
24768,0
-6848,0
-32256,0
-36352,0
-18368,0
9152,0
28864,0
29632,0
12672,0
-10048,0
-24384,0
-22656,0
-7808,0
9664,0
18944,0
15744,0
3968,0
-7872,0
-12736,0
-9216,0
-1408,0
4800,0
6080,0
3264,0
128,0
-576,0
896,0
1792,0
-192,0
-4608,0
-7808,0
-5888,0
1664,0
10624,0
14464,0
8768,0
-4416,0
-17216,0
-20544,0
-10432,0
8320,0
24128,0
25856,0
10688,0
-13312,0
-31040,0
-30208,0
-9536,0
19136,0
37760,0
33408,0
7104,0
-25664,0
-44032,0
-35328,0
-3456,0
32448,0
49536,0
35968,0
-1280,0
-39360,0
-54144,0
-35200,0
6912,0
46208,0
57664,0
33024,0
-13184,0
-52544,0
-59904,0
-29632,0
20032,0
58304,0
60800,0
25152,0
-26880,0
-63104,0
-60352,0
-19776,0
33728,0
66880,0
58496,0
13632,0
-40256,0
-69376,0
-55488,0
-6848,0
46144,0
70656,0
51200,0
0,0
51184,-1257
70507,-3464
45955,-3390
-6815,671
-55325,6823
-69068,10245
-40042,6948
13495,-2685
58198,-13069
66489,-16655
33493,-9269
-19537,5926
-59858,19774
-62549,22380
-26632,10273
24893,-10311
60147,-26662
57624,-27254
19722,-9928
-29238,15627
-59083,33469
-51876,31092
-12977,8217
32513,-21725
56773,-39984
45442,-33702
6761,-5276
-34532,28339
-53162,45858
-38601,34985
-1205,1147
35208,-35208
48543,-50987
31719,-34997
-3344,3877
-34511,42052
-42958,55045
-24972,33670
6891,-9785
32498,-48638
36705,-57964
18590,-31016
-9243,16316
-29234,54693
-30012,59624
-12861,27192
10244,-23111
24859,-60015
23125,-59951
7977,-22296
-9897,29959
-19507,64306
-16319,58967
-4137,16514
8231,-36655
13447,-67604
9825,-56626
1502,-10129
-5288,42875
-6857,69615
-3913,53040
-164,3324
1189,-48434
0,-70272
-1191,-48498
166,3388
3907,52976
6862,69678
5280,42811
-1503,-10129
-9826,-56626
-13460,-67666
-8231,-36655
4152,16576
16301,58906
19525,64367
9897,29959
-7978,-22296
-23149,-60010
-24884,-60074
-10245,-23111
12861,27192
30012,59624
29204,54636
9243,16316
-18590,-31016
-36705,-57964
-32499,-48638
-6891,-9785
24971,33670
42997,55096
34511,42052
3344,3877
-31762,-35044
-48544,-50987
-35208,-35208
1205,1147
38648,35028
53210,45899
34532,28339
-6761,-5276
-45443,-33702
-56773,-39984
-32461,-21690
12977,8217
51875,31092
59138,33501
29294,15658
-19723,-9928
-57682,-27282
-60148,-26662
-24893,-10311
26631,10273
62548,22380
59858,19774
19537,5926
-33493,-9269
-66490,-16655
-58199,-13069
-13496,-2685
40041,6948
69131,10254
55324,6823
6815,671
-46019,-3395
-70571,-3467
-51185,-1257
