real,imag
0,0
0,0
0,0
0,0
13,1107
13,1107
13,-1108
-14,1107
0,0
0,0
0,0
0,0
0,0
0,0
-1,-1
0,-1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-1
0,0
0,0
0,-1
0,0
0,0
0,0
0,0
0,-1
0,-1
0,0
0,-1
0,0
0,0
0,0
-1,0
0,0
0,0
0,0
-1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
-1,-1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-1
-13,1107
-14,1106
0,1
0,-1
0,0
0,0
-1,0
0,0
0,0
0,-1
0,-1
0,-1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-1
0,0
0,0
0,0
0,-1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-1
0,0
0,0
0,0
0,0
0,0
0,0
0,-1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-1,0
0,-1
0,-2
-14,-1108
13,1107
0,0
-1,-1
0,0
0,0
0,0
0,0
0,0
0,0
0,-2200
0,-2199
0,3
0,-3
0,0
0,0
0,0
0,0
0,0
0,0
0,-1
-1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-1,-1
0,0
0,-1
-1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-1
0,0
0,-1
0,0
0,0
0,0
0,0
0,0
-1,-1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-1
0,0
0,2
0,-4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-1
0,-2
0,1
0,0
0,0
0,0
0,0
0,0
0,-1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-1
0,-1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-1
0,-3
0,-3
0,2200
0,-2200
0,0
0,0
0,0
0,-1
