real,imag
28,0
-1544,0
-2212,0
-1584,0
-30,0
1546,0
2214,0
1586,0
30,0
-1546,0
-2216,0
-1588,0
-28,0
1544,0
2216,0
1586,0
30,0
-1546,0
-2216,0
-1588,0
-28,0
1548,0
2216,0
1588,0
30,0
-1548,0
-2218,0
-1588,0
-28,0
1550,0
2218,0
1588,0
28,0
-1552,0
-2218,0
-1588,0
-28,0
1550,0
2218,0
1588,0
24,0
-1548,0
-2216,0
-1586,0
-24,0
1552,0
2218,0
1586,0
24,0
-1548,0
-2216,0
-1584,0
-26,0
1546,0
2214,0
1582,0
28,0
-1546,0
-2212,0
-1584,0
-24,0
1544,0
2212,0
1582,0
-28,0
-1654,81
-2190,215
-1282,190
449,-90
1856,-465
2019,-613
868,-311
-808,334
-1893,895
-1711,914
-439,263
1044,-698
1764,-1308
1311,-1076
58,-53
-1122,1121
-1487,1640
-878,1070
209,-283
1033,-1547
1102,-1839
481,-900
-330,698
-788,1901
-671,1875
-178,587
283,-1129
425,-2138
259,-1747
18,-189
-74,1506
0,2220
72,1470
-24,-241
-264,-1777
-424,-2130
-272,-1085
194,641
679,1898
780,1884
309,654
-504,-942
-1110,-1851
-1016,-1520
-179,-241
904,1102
1487,1640
1094,1094
-98,-89
-1336,-1096
-1758,-1304
-1006,-672
482,289
1734,926
1875,886
761,315
-914,-327
-2033,-617
-1828,-458
-396,-79
1325,196
2193,216
1616,79
0,-2196
1562,-1555
2208,-3
1558,1549
1,2198
-1564,1550
-2205,3
-1558,-1552
1,-2198
1561,-1554
2207,-2
1556,1550
0,2196
-1561,1554
-2204,2
-1556,-1554
0,-2200
1559,-1555
2202,-2
1553,1552
-1,2195
-1558,1555
-2202,2
-1552,-1555
0,-2199
1558,-1555
2200,-1
1554,1556
0,2199
-1557,1554
-2199,-2
-1555,-1558
0,-2201
1554,-1558
2198,1
1558,1555
0,2199
-1554,1555
-2200,-1
-1559,-1555
1,-2198
1552,-1555
2202,2
1559,1556
2,2198
-1554,1552
-2204,-3
-1559,-1555
-1,-2198
1554,-1552
2203,2
1561,1554
1,2194
-1557,1552
-2207,-4
-1562,-1554
-2,-2196
1558,-1552
2207,4
1563,1552
-1,2196
-1560,1551
-2210,-5
-1562,-1553
0,2196
1707,1394
2166,-429
1041,-1935
-840,-2032
-2111,-631
-1836,1222
-220,2188
1555,1553
2191,-222
1228,-1834
-635,-2104
-2030,-841
-1940,1043
-433,2160
1394,1700
2199,-1
1395,-1704
-428,-2161
-1937,-1037
-2028,841
-638,2107
1221,1832
2186,214
1554,-1555
-218,-2191
-1829,-1224
-2105,640
-841,2032
1038,1939
2156,427
1699,-1398
0,-2201
-1700,-1398
-2156,430
-1040,1940
841,2032
2103,639
1829,-1223
218,-2191
-1555,-1553
-2187,214
-1222,1832
637,2109
2030,843
1937,-1037
427,-2163
-1395,-1704
-2198,-1
-1393,1699
433,2161
1940,1043
2028,-839
635,-2105
-1230,-1833
-2192,-222
-1554,1552
219,2188
1837,1223
2111,-633
839,-2030
-1043,-1938
-2169,-427
-1707,1392
