real,imag
448,0
-24768,0
-35440,0
-25376,0
-464,0
24768,0
35456,0
25392,0
432,0
-24752,0
-35456,0
-25392,0
-416,0
24768,0
35472,0
25376,0
432,0
-24752,0
-35456,0
-25376,0
-432,0
24752,0
35440,0
25360,0
464,0
-24752,0
-35440,0
-25376,0
-416,0
24752,0
35440,0
25360,0
0,0
63,-7
47,-10
30,-10
-15,6
-28,15
-27,18
-13,10
34,-34
10,-13
0,0
-8,14
-12,29
-19,61
-3,15
0,0
0,-48
-2,-16
0,0
9,30
6,15
-8,-14
-9,-14
-31,-37
-12,-12
12,10
40,26
28,15
29,12
-46,-14
-47,-10
-48,-5
-224,17760
-12654,12411
-17705,-202
-12364,-12691
203,-17757
12679,-12396
17709,229
12377,12700
-214,17753
-12667,12398
-17715,-219
-12389,-12702
230,-17742
12680,-12393
17725,211
12356,12704
-215,17728
-12677,12414
-17710,-211
-12382,-12689
218,-17750
12673,-12400
17717,217
12358,12677
-210,17733
-12675,12390
-17686,-232
-12358,-12695
232,-17735
12677,-12402
17696,215
12336,12684
-224,-17760
-14832,-9705
-16280,6961
-3230,17421
12700,12411
17352,-3656
6565,-16448
-10041,-14618
-17754,214
-9689,14842
6981,16282
17444,3244
12382,-12708
-3659,-17350
-16457,-6588
-14598,10050
215,17728
14855,9702
16281,-6972
3245,-17430
-12706,-12397
-17352,3649
-6579,16451
10022,14594
17733,-211
9679,-14849
-6983,-16251
-17421,-3222
-12376,12705
3650,17355
16431,6573
14574,-10035
0,-35172
24935,-24898
35259,-11
24932,24840
16,35184
-24940,24850
-35246,21
-24937,-24861
17,-35169
24912,-24867
35276,0
24922,24863
12,35160
-24923,24857
-35267,-1
-24921,-24877
-6,-35177
24914,-24862
35252,5
24923,24857
-1,35123
-24913,24870
-35273,-16
-24912,-24867
-8,-35162
24937,-24861
35261,23
24948,24879
-15,35169
-24937,24844
-35274,-50
-24936,-24882
0,36
63,15
70,-41
-15,-45
2,-12
-88,9
-12,52
17,15
-4,-4
49,-52
-8,-58
-52,1
-21,11
-8,56
43,4
12,-30
-15,-11
-27,-34
-34,17
8,56
13,12
22,-4
22,-64
-50,-52
-24,2
-18,15
24,63
75,6
5,-26
-21,-30
-87,-39
-66,31
0,-36
59,-27
80,11
13,45
10,6
-56,68
-53,-9
-12,-20
3,4
40,-58
56,-15
27,43
6,22
-25,51
-42,-13
-6,-32
14,-11
19,-39
38,3
25,51
-1,17
-16,16
-68,-3
-41,-59
1,-24
11,-20
67,-2
46,59
-15,22
-34,13
-95,2
-58,-43
0,35172
29313,19555
32579,-13483
6930,-34506
-24867,-24892
-34519,6930
-13508,32554
19518,29308
35168,-19
19529,-29285
-13500,-32591
-34519,-6909
-24871,24854
6913,34515
32583,13494
29294,-19538
6,-35178
-29287,-19524
-32567,13495
-6914,34515
24837,24836
34519,-6897
13483,-32594
-19529,-29285
-35162,-9
-19519,29308
13516,32568
34546,6921
24857,-24879
-6931,-34512
-32608,-13452
-29311,19539
