real,imag
0,0
-3200,0
-4412,0
-2880,0
428,0
3460,0
4324,0
2508,0
-844,0
-3640,0
-4156,0
-2100,0
1228,0
3740,0
3912,0
1664,0
-1556,0
-3760,0
-3600,0
-1236,0
1832,0
3692,0
3236,0
816,0
-2028,0
-3540,0
-2832,0
-424,0
2152,0
3316,0
2408,0
80,0
-2192,0
-3024,0
-1976,0
208,0
2144,0
2668,0
1548,0
-428,0
-2016,0
-2272,0
-1148,0
572,0
1804,0
1852,0
792,0
-628,0
-1524,0
-1416,0
-488,0
604,0
1184,0
984,0
248,0
-492,0
-796,0
-576,0
-88,0
300,0
380,0
204,0
8,0
-36,0
56,0
112,0
-12,0
-288,0
-488,0
-368,0
104,0
664,0
904,0
548,0
-276,0
-1076,0
-1284,0
-652,0
520,0
1508,0
1616,0
668,0
-832,0
-1940,0
-1888,0
-596,0
1196,0
2360,0
2088,0
444,0
-1604,0
-2752,0
-2208,0
-216,0
2028,0
3096,0
2248,0
-80,0
-2460,0
-3384,0
-2200,0
432,0
2888,0
3604,0
2064,0
-824,0
-3284,0
-3744,0
-1852,0
1252,0
3644,0
3800,0
1572,0
-1680,0
-3944,0
-3772,0
-1236,0
2108,0
4180,0
3656,0
852,0
-2516,0
-4336,0
-3468,0
-428,0
2884,0
4416,0
3200,0
0,0
3199,-79
4406,-217
2872,-212
-426,42
-3458,426
-4317,640
-2503,434
843,-168
3637,-817
4155,-1041
2093,-580
-1221,370
-3741,1236
-3909,1398
-1665,642
1556,-645
3759,-1666
3601,-1704
1232,-621
-1828,976
-3693,2092
-3242,1943
-811,513
2032,-1358
3548,-2499
2840,-2107
422,-330
-2158,1771
-3323,2866
-2413,2186
-76,71
2200,-2201
3034,-3187
1982,-2187
-209,242
-2157,2628
-2685,3440
-1561,2104
430,-612
2031,-3040
2294,-3623
1162,-1939
-578,1019
-1827,3418
-1876,3726
-804,1699
640,-1445
1553,-3751
1445,-3747
498,-1394
-619,1872
-1219,4019
-1020,3685
-259,1032
514,-2291
840,-4225
614,-3539
94,-633
-331,2679
-429,4351
-245,3315
-10,207
74,-3027
0,-4392
-75,-3031
10,211
244,3311
429,4355
330,2675
-94,-633
-614,-3539
-841,-4229
-515,-2291
259,1036
1019,3681
1220,4023
618,1872
-499,-1394
-1447,-3751
-1555,-3755
-640,-1445
804,1699
1875,3726
1825,3414
577,1019
-1162,-1939
-2294,-3623
-2031,-3040
-431,-612
1560,2104
2687,3443
2157,2628
209,242
-1985,-2190
-3034,-3187
-2201,-2201
75,71
2415,2189
3325,2868
2158,1771
-423,-330
-2840,-2107
-3548,-2499
-2029,-1356
811,513
3242,1943
3696,2094
1831,978
-1233,-621
-3605,-1705
-3759,-1666
-1556,-645
1664,642
3909,1398
3741,1236
1221,370
-2094,-580
-4156,-1041
-3638,-817
-844,-168
2502,434
4320,641
3457,426
426,42
-2876,-212
-4411,-217
-3199,-79
