real,imag
440,0
-24760,0
-35448,0
-25376,0
-448,0
24760,0
35448,0
25376,0
448,0
-24752,0
-35448,0
-25384,0
-416,0
24760,0
35456,0
25368,0
8,0
-8,1
7,-3
0,0
-12,11
4,-7
3,-8
3,-16
0,16
0,0
3,7
4,6
0,0
-7,-5
-15,-6
-8,-2
0,-24
30,-11
23,-5
19,10
-4,10
-18,0
-18,2
-22,-13
11,-23
11,-1
20,13
10,14
8,20
-32,23
-25,2
-24,-2
0,24
33,-2
20,-14
-3,-23
-11,4
6,16
11,14
25,-4
-11,-23
-11,3
-5,23
9,15
20,8
9,-39
-16,-20
-23,-7
-219,17744
-12665,12412
-17707,-206
-12373,-12690
210,-17753
12676,-12398
17713,223
12367,12688
-212,17743
-12671,12394
-17700,-225
-12373,-12698
231,-17738
12678,-12397
17710,213
12346,12694
-5,16
11,-4
4,3
7,-6
-8,3
3,-2
4,6
13,-7
10,2
3,-5
11,11
5,15
-2,3
1,-5
-14,-4
-8,-12
-4,-16
11,-1
0,-5
7,-4
-3,7
0,-3
-7,1
-9,-12
-10,1
-5,-3
-1,15
11,11
3,-1
-4,2
-13,-7
-12,7
-220,-17744
-16451,-6622
-12375,12666
6989,16287
17753,-212
6603,-16457
-12682,-12366
-16282,6989
212,17743
16449,6602
12356,-12675
-6997,-16291
-17738,231
-6602,16458
12674,12372
16264,-7004
-3,-35174
24924,-24880
35255,-3
24927,24848
7,35153
-24926,24860
-35259,2
-24924,-24864
4,-35165
24924,-24864
35268,11
24935,24871
-1,35164
-24930,24850
-35270,-25
-24928,-24879
3,2
7,-20
0,-9
-1,-10
27,15
-16,5
22,-6
0,13
-4,-13
-1,13
-14,-3
0,15
-13,-7
-2,-10
6,-24
-7,-4
-7,12
18,-9
18,-12
-3,5
7,0
-33,2
5,-6
-16,-18
-14,-1
15,-18
8,2
11,3
-8,-7
-14,13
-22,-17
-27,0
7,23
49,15
37,-47
-38,-36
-13,-5
-25,49
47,38
39,-27
-3,-10
-40,-27
-50,38
33,54
22,-4
18,-40
-52,-45
-44,22
7,-23
39,-33
59,7
19,48
4,11
-36,42
-60,-6
-26,-39
2,-10
25,-39
61,-8
36,51
-4,22
-29,32
-68,-5
-32,-37
-7,-13
21,2
21,-5
-7,1
0,-8
10,31
0,-8
22,-11
14,-1
-22,-11
-4,7
-2,12
-8,-8
7,-19
-28,-3
-25,-11
3,-3
13,15
6,6
8,4
-15,-28
0,16
-12,-20
-5,11
3,-14
5,11
8,-11
13,6
-7,-12
-9,1
-12,21
-8,0
-3,35175
32548,13448
24931,-24927
-13417,-32540
-35154,-9
-13429,32541
24929,24932
32541,-13434
-5,-35165
-32542,-13434
-24930,24946
13435,32553
35164,-2
13418,-32542
-24958,-24920
-32551,13447
