real,imag
28,0
-1548,0
-2215,0
-1586,0
-29,0
1548,0
2216,0
1587,0
27,0
-1547,0
-2216,0
-1587,0
-26,0
1548,0
2217,0
1586,0
27,0
-1547,0
-2216,0
-1586,0
-27,0
1547,0
2215,0
1585,0
29,0
-1547,0
-2215,0
-1586,0
-26,0
1547,0
2215,0
1585,0
0,0
4,-1
3,-1
2,-1
-1,0
-2,1
-2,1
-1,0
2,-2
0,-1
0,0
-1,1
-1,2
-1,4
0,1
0,0
0,-3
0,-1
0,0
0,2
0,1
-1,-1
-1,-1
-2,-3
-1,-1
1,0
2,1
2,1
2,1
-3,-1
-3,-1
-3,-1
-14,1110
-791,775
-1107,-13
-773,-793
12,-1110
792,-775
1106,14
773,793
-14,1109
-792,774
-1107,-14
-774,-794
14,-1109
792,-774
1107,13
772,793
-14,1107
-792,775
-1107,-13
-774,-793
13,-1109
792,-775
1107,13
772,792
-13,1108
-792,774
-1105,-15
-772,-793
14,-1108
792,-775
1105,13
771,792
-14,-1110
-927,-607
-1018,435
-202,1089
793,775
1084,-228
410,-1029
-628,-914
-1110,13
-606,927
436,1017
1090,202
774,-795
-229,-1085
-1029,-412
-913,628
13,1108
928,606
1017,-436
203,-1090
-795,-775
-1085,228
-411,1028
626,912
1108,-13
604,-928
-437,-1016
-1089,-202
-773,794
228,1084
1027,410
911,-628
0,-2198
1558,-1556
2203,-1
1558,1552
0,2198
-1559,1552
-2202,1
-1558,-1553
1,-2198
1556,-1554
2204,0
1557,1553
1,2197
-1557,1553
-2204,0
-1557,-1554
0,-2199
1556,-1553
2202,0
1557,1553
0,2194
-1557,1553
-2204,-1
-1557,-1554
-1,-2197
1558,-1553
2203,1
1558,1554
0,2197
-1558,1552
-2204,-3
-1558,-1555
0,2
4,1
4,-3
-1,-3
0,-1
-6,0
-1,3
1,1
0,0
3,-3
-1,-3
-4,0
-2,0
0,3
2,0
0,-2
-1,-1
-2,-3
-2,1
0,4
1,0
1,-1
1,-4
-4,-4
-2,0
-1,1
1,4
5,0
0,-2
-1,-2
-5,-3
-4,2
0,-2
3,-2
5,0
0,2
0,0
-4,4
-3,0
-1,-1
0,0
2,-4
3,-1
1,2
0,1
-1,3
-3,-1
0,-2
0,-1
1,-2
2,0
1,3
0,1
-1,1
-4,0
-3,-4
0,-1
0,-1
4,0
3,3
-1,1
-2,0
-6,0
-4,-3
0,2198
1832,1222
2035,-843
433,-2156
-1554,-1556
-2158,433
-845,2034
1219,1831
2197,-2
1220,-1831
-844,-2037
-2158,-432
-1555,1553
432,2157
2036,843
1830,-1221
0,-2199
-1830,-1221
-2036,844
-433,2157
1552,1552
2157,-432
843,-2037
-1220,-1831
-2198,-1
-1220,1831
844,2035
2159,432
1553,-1555
-433,-2157
-2038,-841
-1832,1221
