real,imag
444,0
-24756,0
-35448,0
-25380,0
-432,0
24760,0
35452,0
25372,0
-4,0
-4,1
0,0
1,-4
0,16
0,0
3,3
-4,-2
4,8
-4,0
5,2
2,3
-6,5
-1,-6
-6,-7
-2,-9
4,-8
-4,2
-2,-5
-4,0
5,6
-3,-5
-7,-6
-8,4
5,-23
20,-6
21,4
14,12
2,15
-25,11
-21,2
-23,-7
-6,-1
7,-9
-6,-8
0,-5
-5,6
-14,-2
-3,-3
-3,4
-5,0
11,0
7,4
3,-4
4,6
7,-11
-2,-3
1,-5
5,23
19,-11
-4,-22
-20,-2
-2,15
26,-9
2,-22
-22,-11
-215,17743
-12668,12403
-17703,-215
-12373,-12694
220,-17745
12677,-12397
17711,218
12356,12691
-4,0
6,7
4,9
3,1
-8,10
0,1
2,-5
-11,-1
2,9
7,-4
7,7
6,4
-5,3
2,-3
-5,1
2,-9
-8,7
4,-1
-6,-1
-10,-5
0,3
1,-2
-3,-10
-9,-7
-7,-7
3,-2
0,5
9,3
0,3
-2,0
-10,-3
-10,-2
3,-9
8,-2
-7,-8
-8,-1
4,3
-3,-1
0,-5
-5,8
-4,0
-1,-10
-9,-4
-4,-2
7,9
0,0
-4,3
-9,-7
-216,-17744
-17727,186
215,17703
17724,-228
-222,-17746
-17730,197
218,17710
17710,-237
0,-35169
24924,-24872
35261,4
24931,24859
3,35158
-24928,24855
-35264,-11
-24926,-24871
-4,-5
-3,-8
-10,-1
-12,-1
-6,-4
4,-4
5,-14
1,-8
0,-5
3,-3
-7,-6
0,2
7,4
-9,-2
14,-15
-3,4
3,7
-3,-17
3,-7
-12,-5
11,-20
9,3
0,-12
0,-9
-10,5
16,-13
13,-5
4,4
0,-3
-23,7
-8,-11
-21,-9
3,6
3,3
-2,-9
-2,7
3,-8
-2,11
-6,-14
-9,6
2,6
4,-6
-6,-4
-2,9
4,-4
-3,4
-2,-3
-2,-2
5,16
49,2
0,-61
-55,15
-1,17
49,3
-6,-65
-48,7
4,-16
32,-36
60,0
27,49
0,16
-32,37
-64,-5
-29,-38
2,-7
7,0
4,6
-5,7
-6,-4
6,1
-3,-3
-3,0
3,-7
0,-4
8,1
-4,6
-4,-8
8,6
-14,-5
-1,-11
-11,-6
22,-2
4,-13
-6,0
0,-4
22,-11
-12,-8
-22,-9
3,-8
9,13
7,-2
10,5
-11,-20
-4,8
-12,0
-6,5
0,5
4,0
5,6
-2,2
-8,4
5,-7
-15,14
0,-6
-4,5
3,7
0,9
9,6
5,-5
-5,0
-14,6
-5,6
1,35170
35209,-36
-4,-35261
-35205,-50
-4,35159
35199,-51
-13,-35263
-35210,-37
