real,imag
448,0
-24704,0
-35392,0
-25344,0
-480,0
24736,0
35424,0
25376,0
480,0
-24736,0
-35456,0
-25408,0
-448,0
24704,0
35456,0
25376,0
480,0
-24736,0
-35456,0
-25408,0
-448,0
24768,0
35456,0
25408,0
480,0
-24768,0
-35488,0
-25408,0
-448,0
24800,0
35488,0
25408,0
448,0
-24832,0
-35488,0
-25408,0
-448,0
24800,0
35488,0
25408,0
384,0
-24768,0
-35456,0
-25376,0
-384,0
24832,0
35488,0
25376,0
384,0
-24768,0
-35456,0
-25344,0
-416,0
24736,0
35424,0
25312,0
448,0
-24736,0
-35392,0
-25344,0
-384,0
24704,0
35392,0
25312,0
-448,0
-26464,1300
-35031,3450
-20512,3042
7187,-1430
29706,-7441
32306,-9800
13889,-4970
-12920,5351
-30287,14324
-27375,14632
-7027,4211
16709,-11165
28221,-20931
20976,-17215
924,-838
-17944,17943
-23789,26247
-14048,17117
3355,-4524
16533,-24745
17635,-29424
7693,-14393
-5281,11166
-12601,30421
-10737,30009
-2852,9401
4525,-18066
6804,-34210
4146,-27950
298,-3026
-1184,24099
0,35520
1155,23523
-380,-3854
-4217,-28425
-6780,-34084
-4347,-17352
3112,10258
10866,30370
12491,30155
4953,10472
-8055,-15070
-17751,-29616
-16249,-24319
-2860,-3856
14474,17637
23789,26247
17513,17513
-1565,-1419
-21372,-17540
-28119,-20854
-16097,-10756
7712,4623
27741,14828
29998,14188
12180,5045
-14613,-5229
-32521,-9865
-29241,-7324
-6340,-1261
21208,3146
35094,3456
25857,1270
0,-35136
24996,-24877
35336,-38
24931,24793
23,35174
-25022,24817
-35285,58
-24934,-24839
17,-35175
24983,-24862
35320,-39
24897,24818
-6,35146
-24980,24866
-35263,42
-24890,-24868
4,-35192
24951,-24886
35242,-31
24867,24848
-17,35131
-24920,24892
-35233,38
-24841,-24873
7,-35181
24941,-24884
35206,-16
24879,24910
-10,35195
-24909,24867
-35181,-29
-24874,-24920
0,-35208
24874,-24920
35183,15
24933,24888
10,35195
-24859,24884
-35207,-16
-24941,-24884
18,-35164
24841,-24873
35232,38
24947,24908
30,35175
-24867,24848
-35271,-45
-24952,-24886
-17,-35163
24878,-24839
35262,42
24980,24866
15,35116
-24906,24849
-35313,-70
-24984,-24862
-24,-35144
24933,-24839
35316,62
25018,24849
-21,35143
-24966,24822
-35367,-71
-24998,-24845
0,35136
27315,22307
34665,-6857
16661,-30963
-13438,-32507
-33766,-10092
-29371,19555
-3517,35018
24885,24859
35067,-3540
19655,-29346
-10152,-33657
-32474,-13445
-31048,16686
-6921,34577
22309,27207
35192,-5
22320,-27271
-6845,-34571
-30997,-16584
-32452,13460
-10207,33711
19542,29316
34986,3423
24871,-24882
-3493,-35058
-29265,-19573
-33684,10240
-13460,32520
16617,31027
34510,6835
27197,-22362
0,-35208
-27197,-22362
-34504,6879
-16635,31054
13459,32520
33654,10228
29264,-19573
3493,-35058
-24878,-24851
-34986,3423
-19542,29316
10207,33743
32486,13489
30997,-16584
6837,-34603
-22321,-27271
-35163,-17
-22281,27193
6921,34577
31047,16686
32449,-13425
10174,-33679
-19678,-29323
-35068,-3541
-24868,24833
3516,35018
29400,19568
33777,-10122
13429,-32476
-16685,-31001
-34701,-6830
-27313,22275
